History VAPORIX-Control;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Serial no.;36882;Hardware;2.05;Software;1.43;Protocol;103;Pulse rate;0;Country code;49;PCM;-1;FLG;17
;;;;;;;;;;;;;;;
Side;A;Status;1-0000-0000;;;;;;;;;;;;
;;;;;;;;;;;;;;;
Sensor no.;Date;Error counter;Fuel transfers;Recovery rate in %;Mean value of recovery rate in %;Temperature in °C;VC status;Vapour flow rate in l/min;Fuel flow rate in l/min;Recovery rate (+);Recovery rate (-);;;;
;;;;;;;;;;;;;;;
71725;29.12.2023;0;61595;115;117,1;9,7;48;26;22,5;115;;;;;
71725;29.12.2023;0;61594;110;117,1;9,8;49;25,7;23,4;110;;;;;
71725;29.12.2023;0;61593;112;117,1;9,3;44;26,1;23,3;112;;;;;
71725;29.12.2023;0;61592;112;117,1;9,1;29;27,5;24,5;112;;;;;
71725;28.12.2023;0;61591;110;117,1;12,6;40;25,4;23,1;110;;;;;
71725;28.12.2023;0;61590;113;117,1;12,6;43;25,7;22,8;113;;;;;
71725;28.12.2023;0;61589;110;117,1;12,7;34;25,2;22,9;110;;;;;
71725;28.12.2023;0;61588;112;117,1;13,2;45;25,5;22,8;112;;;;;
71725;28.12.2023;0;61587;110;117,1;13,6;32;25,1;22,8;110;;;;;
71725;28.12.2023;0;61586;112;117,1;12,9;41;25,5;22,8;112;;;;;
71725;28.12.2023;0;61585;112;117,1;13,1;41;25,4;22,8;112;;;;;
71725;28.12.2023;0;61584;110;117,1;13,4;39;25,3;22,9;110;;;;;
71725;28.12.2023;0;61583;111;117,1;13,1;38;25,5;23;111;;;;;
71725;28.12.2023;0;61582;114;117,1;13,3;30;26,2;23;114;;;;;
71725;28.12.2023;0;61581;111;117,1;13;31;25,5;22,9;111;;;;;
71725;28.12.2023;0;61580;110;117,1;13;42;25,3;22,9;110;;;;;
71725;28.12.2023;0;61579;112;117,1;13;27;25,5;22,9;112;;;;;
71725;28.12.2023;0;61578;111;117,1;12,5;40;25,1;22,6;111;;;;;
71725;28.12.2023;0;61577;109;117,1;10,3;50;25,2;23,1;109;;;;;
71725;28.12.2023;0;61576;115;117,1;10;43;26,2;22,9;115;;;;;
71725;28.12.2023;0;61575;114;117,1;8,2;27;26,2;22,9;114;;;;;
71725;27.12.2023;0;61574;112;117,1;9,1;27;25,4;22,6;112;;;;;
